score,review,y
5.0,명불허전,1
5.0,"이거슨 한국의 까르보나라,,,🤍 들깨칼국수 고소하니 넘 맛나유 얼큰해물칼국수는 해물도 많이 들어있고 약간 짬뽕 느낌? 해물파전도 괜춘스 가족들과 외식하기 좋숩니다",1
5.0,들깨가 찐하고 고소해요. 음식맛이 깔끔해요. 어르신 모시고 청주 온다면 식사하기 괜찮아요. 김치랑 된장고추 반찬으로 줘요.,1
4.0,"청주 사람들 점심엔 여기만 오나봐요. 주말 점심시간에 왔는데 손님 100명은 앉아있음 ㅋㅋㅋ양 엄청 많아서, 칼국수 1그릇을 여자 2명이서 먹으면 충분할듯. 여자는 혼자서 절대 다 못 먹어요",1
5.0,,1
5.0,,1
5.0,4명에서 3~4인 셋트시키면 진짜 배터지게 먹고나올수있어요!,1
5.0,들깨칼국수 땡기면 찾아가는곳,1
5.0,일하시는분들이 친절하고 음식이 들깨칼국수 맛있어요,1
3.0,,0
5.0,맛은좋아요. 주방아줌마들 홀이나 주방에서 수다좀 안떠셨음 좋겠어요..짜증납니다. 교육좀 시켜주세요.. 수다방을 만들어주든지...,1
5.0,"짱 맛집임들깨칼국수, 해물칼국수 모두 훌륭함",1
5.0,,1
5.0,,1
5.0,"가족이랑 먹기 좋아요 양도 완전 많고 국물완전 저희 가족 스탈~,, 해물파전도 너무 예술이에요 김치도 직접 담그신거라 그냥 김치만 먹어도 최고최고짱짱짱....또 먹으러 가고싶네요 ㅠㅠ 아 침고여",1
4.0,월요일에도 영업하시네요맛있습니다 밑반찬도 싱싱함,1
4.0,칼국수 맛은 평범했는데 파전이 두툼하고 바삭한게 정말 맛있네요,1
5.0,맛있어요,1
5.0,들깨 칼국수 맛있어요~~!,1
5.0,청주에서 가족과 오기 좋은 곳,1
4.0,"해물칼국수는 옛날스타일이라 요즘 해물칼국수 생각하면 실망할 것 같고 세트메뉴는 보통이고아구찜 느낌이던 해물쟁반 사라지더니, 샤브코스까지 사라져서 이젠 들깨칼국수 하나 보고 가는 곳근데 그 들깨칼국수가 끝판왕이라 보은이고 태안이고 들깨칼국수 맛있다는 곳 다 가봤는데 여기만한 곳이 없음.",1
5.0,교수님 추천으로 콩국수 먹어봤는데 콩이 이 정도로 고소할 줄은 몰랐어요! 가족들이랑 또 먹으러 갈 거에요!!,1
3.0,"들깨칼국수 코스를 먹었는데 양이며 비주얼이 좋았다. 한가지, 편육이 새것인지 아닌지는 모르겠으나 돼지냄새가  나서 이후로 안감",0
4.0,,1
4.0,,1
4.0,,1
5.0,진짜 맛있어요! 매생이칼국수도 맛있긴 했지만 역시 들깨칼국수가 진하고 고소하니 맛있어요. 세트메뉴에 있는 전이나 무침도 다 하나하나 맛있는데 양이 좀 많아요. 최소 4인은 가야 적당할듯,1
3.0,,0
3.0,들깨칼국수,0
5.0,"최근에 인테리어 공사해서 조명이 밝고 내부가 화이트톤이예요. 깔끔하고 분위기 좋아서 커플 데이트, 단체 모임하기 좋아요",1
5.0,다양한 메뉴가 많아서 너무 좋았어요! 알바생분들도 친절하고 리코타 치즈 샐러드 존맛👍스파게티도 양도 많았어요! 고르곤졸라도 꿀 찍어먹으면 짱,1
4.0,,1
2.0,맛있고 양 많았었는데 최근에 양이 팍 줄음,0
5.0,맛있어요~,1
4.0,,1
1.0,늦은점심 먹으려했는데 브레이크타임이라 음식은못먹어봤네요. 별점테러는 지정주차장 할아버지때문입니다. 주차하고 브레이크타임이라  바로나왔는데 9분됐다고 천원을 무조건 내라고하네요. 심지어 카드는 받지도않음. 국세청 신고하려다참음,0
3.0,간이 안배어있는 느낌 ㅜㅜ,0
5.0,,1
4.0,분위기도 좋도 맛도 좋고 빼쉐 최애 메뉴,1
5.0,,1
4.0,,1
3.0,,0
4.0,친절하고 맛있고 편하고 좋네요,1
5.0,여기 빠네는 언제먹어도 맛있어요,1
3.0,그냥 서가앤쿡인데...?,0
4.0,,1
