score,review,y
5.0,분위기 좋고 커피 맛있어요,1
3.0,,0
4.0,아인슈페너맛남 배산임수 친절하진않음,1
3.0,아메리카노 6천원. 자리 많고 분위기는 좋지만 커피 마시겠다고 들르면 아쉬울수도,0
5.0,,1
3.0,,0
3.0,분위기는 좋은데 가격이 굳이,0
4.0,분위기 좋은 카페였어요. 예쁜 사진도 많이 찍을 수 있어요. 사람이 많아 자리가 없을 수도 있어요.가격은 조금 비싸다고 생각했어요. 그렇지만 커피도 맛있어서 괜찮았어요 ^^계속 가거나 하진 않고 한두번 구경할 겸 가기에 좋은 것 같아요,1
5.0,,1
3.0,커피 맛 분위기 다 ㄱㅊ은데 선곡이 너무 구림 진심. . . 갑자기 감성카페에서 시장바닥된듯한 기분차라리 음악을 껐으면,0
5.0,대전가면 항상 커피인터뷰만 가요다른 지점들듀 많이 생겼지만개인적으로는 여기가 최고입니다❤️,1
3.0,가격 살짝 비쌈분위기는 좋음,0
2.0,비싼커피와 그냥그런 인테리어..요즘 조금만 나가도 더 좋은 분위기카페 많음...6000원의 커피라...더 좋은데 가세요..차 있으신분은...그놈의 인스타감성에 낚였네요ㅠㅜ,0
5.0,,1
4.0,비싸지만 감성은 있음,1
5.0,커피맛 일품,1
3.0,슬프게도 뷰도 좋고 한데 커피류가 넘 맛이없어요아니면 너무 달고 시럽맛이 강해요 ㅠㅠ커피맛도 좀 맛있음 좋을텐데 ㅠㅠ 분위기랑은 다 괜찮아요근데 그 투명창으로된 이층건물 같은곳은 올라가고 내려가는 곳이 너무 위험해서 사고날까 걱정되요,0
5.0,뷰도좋고 커피도다양함 ㅋ,1
5.0,,1
4.0,+아인슈페너라떼. 4점.+밤얼그레이밀크티. 4점.분위기 좋음,1
5.0,너무 좋네요~ 평일에 갔는데도 사람이 많더라구요!날씨 좋은 날에 가면 야외 경치 좋아서 날씨 좋은 날 가는 걸 추천드려요!,1
5.0,,1
4.0,,1
4.0,,1
5.0,맛으로 가는 카페가 아님.. 음식은 평범한데 야외 분위기와 채광이 그냥 미쳤어요.. 강가에 앉아서 자전거 타고 산책하는 사람들 보면 그냥 외국임.. 4-6천원 내고 이정도 분위기 느낄 수 있는 곳에 감사합니다...,1
5.0,가격대비 평범한 맛 그리고 대학가 치고 비싼편 올라가는 계단이 위험해 보임 자리는 많아서 좋음,1
5.0,분위기 맛집,1
5.0,채광됴아요,1
5.0,분위기 좋고 자리도 먾고 사람들도 많고 음료도 맛있고 스콘 소스도 맛있어요!!!!,1
2.0,가격대비 평범사람 엄청많아요평일에두,0
4.0,자두에이드가 맛있어요! 정말 생 자두향이 진하게 나서 상큼했어요~! 카페에 사람도 엄청 많고 야외는 은행나무때문에 은행 냄새가 많이 났어요ㅠㅠ,1
4.0,치즈 테린느가 맛있어요.,1
3.0,,0
3.0,커피맛 쏘쏘사진찍기는 좋음사람 너무 많아 시끄럽고 복잡코로나 거리두기 안됨,0
2.0,커피맛은 미달(장미커피 시키지 마세요),0
5.0,친절하고 분위기 좋아요,1
3.0,맛이..,0
4.0,커피도 괜찮고 무엇보다 인테리어가 정말 멋있어요,1
4.0,분위기 좋고 굿,1
2.0,장미커피는 절대 먹지마,0
3.0,Coffee,0
5.0,커피향이랑 질이 조금 다른것 같아요~~~카페 분위기도 괜찮고 추천 하고 가염^^,1
5.0,,1
5.0,직접 로스팅 해서 그런지 커피맛이 좋아요카페분위기 좋아요포토존 많네요~,1
3.0,시설은 좋은데~~맛은 보통?,0
