score,review,y
1.0,여기는 사람이 말을해도 쌩까고 그냥 지나가버림옃번을 불러도 그냥지나가는 싸가지없는곳임절대 가지맙시다.,0
1.0,일요일 영업중이냐고 물었더니 영업중이라고 해서 3분안에 갔더니 브레이크타임이라고 안된다는게 상식적으로 납득이 안가는 짜증나는 명소. 영업중인데 지금은 브레이크타임이라고 말해주는 센스가 필요,0
1.0,브레이크 타임 지난지 30초 됐나 식사도 후딱 끝내고 나가려고 준비하는데 왜 안나가냐고 가게 불도 다 끄고 빨리 나가라고 몇번을 말하나요..ㅋㅋㅋ 나갈거에요 아저씨 말해도 나가라고 나가라고~~~,0
4.0,"런치 코스 맛있었는데, <탕수육 소스>가 너무 역하고 시럽약 같아요. 제발 다른 중식집처럼만 바꿔주시길.. “취팔선객잔”이 여기보다 훨씬 맛있어요",1
1.0,"손님들 얼굴도 안 보고 몇 명인지 묻더라고요. 짜장면은 불어터져있고, 탕수육은 바짝 말라 있었습니다. 분위기만 좋은 듯 해요.",0
4.0,,1
1.0,,0
3.0,볶음 실력의 척도인 볶음밥이 그렇게 맛있지 못합니다. 하지만 딤섬류가 맛있어요. 특히 새우들어간 딤섬들.,0
2.0,샤오롱바오 괜찮았는데 샤오마이는 냄새났어요 유린기는 맛있었고 새우볶음밥도 괜찮았아요 다만 조그마난 새우 다섯개 들어가있음.. 동네 중국집 볶음밥보다 못한 재료 인심에 비싼 가격이 단점이네요. 가게는 깨끗하고 주차장 넓은 편. 서빙하는 직원 아주머니는 손님이랑 왜 혼자 기싸움 하시는지. 접시 탁 내려놓고 불친절한 서비스. 굳이 재방문 의사는 없습니다.,0
2.0,"조금 짠맛이 강해요! 대체적으로 요리로 나온 음식양은 적었어요 ㅜㅜ 깐풍기는 맛있었는데, 양장피에 나온 겨자가 좀 매운거 같아요!",0
5.0,"깔끔한 분위기고 반객짜장, 반객짬뽕 맛있었어요! 꿔바로우는 호불호 갈릴 것 같아요 (소스 신맛이 강해요)",1
5.0,부모님 모시고 코스 먹었는데 맛있었어요~,1
5.0,뭐지 리뷰 왜캐 살벌하죠..? 오늘 코스요리 먹고왔는데 괜찮았습니다,1
4.0,음 .. 19년도 리뷰들이 너무 혹평이라 글쓰기 무섭지만봄에 방문했었는데짜장면도 찹쌀 탕수육도 다 괜찮았어요 !,1
1.0,"카카오맵 리뷰를 믿었어야하는데...갔다 돈 아까움음식 맛도 맛 그냥그런데 서빙도 형편없음. 기본 찬, 식기 셋팅 없이 요리부터 나오고  엉망진창임...  가게 인테리어, 분위기도 시장통 같음",0
1.0,맛이아닌 인테리어에 신경을 많이 썼나보네요,0
3.0,,0
5.0,,1
3.0,,0
1.0,실력이 아닌 인테리어에 신경 쓰는 듯,0
3.0,"먹을만해요.사무실 팀장님 생일인데, 저녁에는 회식하기 싫을때,  점심에 룸 잡아서 코스 먹으면서 생일 챙겨주기 적당한 맛과 가격과 분위기",0
1.0,"진짜 대 실망입니다. 아이들에게 맛있는 중국집 소개해 주겠다고 갔다가 내상만 크게 입었습니다. 찹쌀탕수육은 전분이 이빨에 쩍쩍 붙고 고기는 얇은데다가 맛없는 분식집 돈가스소스가 덮여있는데 생활의달인에 뭘로 출현했는지 진심으로 의문이 가더군요. 양장피도 아무 맛이 없어서 화가난 집사람이 접시를 주방으로 돌려보냈습니다. 물론 돈은 내지 않았지요. 아니, 낼수가 없었지요. 국물이 다소 짜지만 우동으로 그나마 허기를 달래고 왔습니다. 절~대 비추합니다!!",0
