score,review,y
5.0,혼밥하기도 좋고 너무 맛있어요!!,1
5.0,식사도 맛있고 알찬데 공간도 아늑해서 좋아요!!,1
4.0,대학 근처라 가봤는데깔끔하게 한상~근데 찬들을 너무 쬐끔씩 줘서 아쉽네요.그래도 다 맛있고싱싱한 채소까지~~대접받는기분~~테이블이 몇개 안되서 대기탈수도..식사양 보통이면 괜찮아요.,1
5.0,집밥먹고싶을때 가는 곳집 근처 있어서 좋아요,1
5.0,,1
2.0,데이트코스...는 절대아님그냥저냥 깔끔한 밥집,0
5.0,말이필요없음. 된장찌개 굿,1
5.0,"차돌된장, 삼색야끼도리덮밥, 소고기비빔밥 강추",1
3.0,제사 때나 쓰는 냄새의 향을 점심시간대의 식당에 왜 피우신 걸까요 .. 😿 친절하셨고 맛은 그냥 깔끔하고 평범했어요,0
5.0,,1
5.0,,1
5.0,맛있게 잘 먹었습니다.,1
5.0,짱짱짱 맛있어요 분위기도 좋고 데이트 코스 필수 :),1
5.0,너무 맛있어요 다음번엔 차돌된장 먹어봐야겠어요혼밥하기에도 좋네요,1
4.0,"양도 많고 진짜 가성비예요!! 제육볶음은 맵다기보다 단맛이 나는 편이고 제육볶음은 고정메뉴였어요! 오늘의 메뉴라고 제가 먹은 소고기비빔밥?은 메뉴가 바뀌는 것 같은데 다른 메뉴들도 먹어보고 싶을 정도.. 메뉴마다 반찬도 살짝씩 달라서 너무 좋았어요 메뉴판에 보면 밥과 반찬은 필요하면 더 준다고도 써있었어요 남는게 있으신가요,,🥹",1
5.0,우주식탁,1
5.0,이 가격에 이정도 비쥬얼이라면 매일 먹겠다.남는게 있나 싶을 정도 강추하는 맛집,1
5.0,"진짜 세상 맛있는 명란과 차된찌,, 우리 엄마는 요리왕",1
5.0,출장으로 처음 청주왔다가 집밥먹고싶아서 갔는데최근 먹은 식당 중 제일 맛있음오이 극혐하는데도 이 집 오이지는 먹을만함 ㄷㄷㄷ,1
4.0,,1
5.0,"반찬도 다양하고 너무 맛있어용 (●’◡’●)ﾉ고정메뉴 두개랑 매주 바뀌는 메뉴 하나가 있는데 자취러에게 너무나도 희망인 곳! 다만 늦게가면 이번주 메뉴는 못 먹을 수도 있지만 다른거 먹으면 되니까요.. 흑흑 8ㅁ8좌석이 많지 않아서 딱 점심시간 저녁시간 되자마자 호다닥 가는 것을 추천합니다. 근처에 한식집이 마땅히 없었는데 멀어서 안가보다가 그동안 안간걸 후회했습니다,,,ㅠ_",1
5.0,우연히 알게 된 곳인데 반찬 하나하나 다 넘 맛있았음,1
5.0,"청주에서 고향의 맛을 느꼈읍니다,,,",1
5.0,쥑이네요! 오백원 올리고 휴식으로 식혜 한잔 주셔도 좋을 것 같습니다! 엄마의 마음이 느껴졌습니다!,1
5.0,맛있어요 집밥느낌인데 엄마가 요리천재인 경우,1
5.0,먹으면서 행복했습니다ㅠㅠ,1
3.0,먹어봐야겠다,0
2.0,"주메뉴는 맛있으나, 밥맛이 이상해요. 세제향이 난달까... 밥물에 고수라도 넣으시는 걸까요? 같이 간 일행은 못 느끼고 저만 느꼈어요. 오픈한지 얼마 안 되었을 때 밥맛이 이상해서 한동안 안 갔는데, 다시 방문했을 때도 그렇더라고요. 식기가 예쁘고 음식을 딱 먹을만큼 정갈하게 담아내는 건 좋았어요. 미각, 후각이 예민한 사람에게 추천하지 않습니다.",0
5.0,맛나요,1
5.0,,1
5.0,우삼겹명란마요덮밥 진짜 환상적이에요... 나올 때마다 일주일에 두세번씩 먹고 있습니다ㅜㅜ 양념도 너무 맛있고 중독성 있어서 계속 생각나요!! 밑반찬도 국도 다 최고예요! 집에 싸가고 싶을 정도로.. ㅎㅎ 자주자주 오겠습니다! 번창하세요 사장님~~~,1
3.0,3.5/5 정갈한 집밥 느낌합리적인 가격맛있습니다,0
5.0,,1
